Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,35400390625;45,7607938844651;-2,34893798828125E-07;-0,35284423828125;1;145;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3564453125;46,0049348838487;-2,39013671875E-07;-0,355255126953125;1;146;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,35888671875;46,2490758832323;-2,43133544921875E-07;-0,357757568359375;1;147;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,361328125;46,4932168826159;-2,47161865234375E-07;-0,360198974609375;1;148;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,36376953125;46,7373578819995;-2,50885009765625E-07;-0,36260986328125;1;149;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3662109375;46,9814988813831;-2,548828125E-07;-0,364959716796875;1;150;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,36865234375;47,2256398807667;-2,5872802734375E-07;-0,367462158203125;1;151;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,37109375;47,4697808801503;-2,62420654296875E-07;-0,369964599609375;1;152;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,37353515625;47,7139218795339;-2,66082763671875E-07;-0,372314453125;1;153;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3759765625;47,9580628789175;-2,6947021484375E-07;-0,374725341796875;1;154;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,37841796875;48,2022038783011;-2,72918701171875E-07;-0,377105712890625;1;155;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,380859375;48,4463448776847;-2,763671875E-07;-0,379638671875;1;156;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,38330078125;48,6904858770683;-2,79541015625E-07;-0,382049560546875;1;157;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3857421875;48,9346268764519;-2,825927734375E-07;-0,384429931640625;1;158;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,38818359375;49,1787678758355;-2,8546142578125E-07;-0,386871337890625;1;159;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,390625;49,4229088752192;-2,882080078125E-07;-0,3892822265625;1;160;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,39306640625;49,6670498746028;-2,91046142578125E-07;-0,3917236328125;1;161;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,3955078125;49,9111908739864;-2,9364013671875E-07;-0,3941650390625;1;162;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,39794921875;50,15533187337;-2,96173095703125E-07;-0,396575927734375;1;163;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,400390625;50,3994728727536;-2,9852294921875E-07;-0,398956298828125;1;164;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,40283203125;50,6436138721372;-3,0059814453125E-07;-0,401458740234375;1;165;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,4052734375;50,8877548715208;-3,02154541015625E-07;-0,4044189453125;1;166;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,40771484375;51,1318958709044;-3,04107666015625E-07;-0,406890869140625;1;167;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,41015625;51,376036870288;-3,05908203125E-07;-0,4093017578125;1;168;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,41259765625;51,6201778696716;-3,07830810546875E-07;-0,411712646484375;1;169;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4150390625;51,8643188690552;-3,0926513671875E-07;-0,414093017578125;1;170;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,41748046875;52,1084598684388;-3,1085205078125E-07;-0,416595458984375;1;171;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,419921875;52,3526008678224;-3,1231689453125E-07;-0,4190673828125;1;172;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,42236328125;52,596741867206;-3,1365966796875E-07;-0,421478271484375;1;173;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4248046875;52,8408828665896;-3,14727783203125E-07;-0,423919677734375;1;174;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,42724609375;53,0850238659732;-3,1585693359375E-07;-0,4263916015625;1;175;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4296875;53,3291648653568;-3,16986083984375E-07;-0,4288330078125;1;176;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,43212890625;53,5733058647404;-3,17474365234375E-07;-0,4312744140625;1;177;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4345703125;53,817446864124;-3,18328857421875E-07;-0,43365478515625;1;178;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,43701171875;54,0615878635076;-3,19183349609375E-07;-0,43609619140625;1;179;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,439453125;54,3057288628912;-3,19732666015625E-07;-0,43853759765625;1;180;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,44189453125;54,5498698622748;-3,199462890625E-07;-0,440948486328125;1;181;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4443359375;54,7940108616584;-3,20404052734375E-07;-0,44342041015625;1;182;0,000377255453169346;-1,23335473239422E-05;1 µA;
